📺央视频道,#genre#
CCTV-5,http://qjrhc.jydjd.top:2911/udp/224.1.100.82:11111
CCTV-7,http://omnix.cn:4000/udp/225.1.8.7:8104
CCTV-9,http://119.32.12.17:2901/udp/224.1.100.29:11111

📡卫视频道,#genre#
四川卫视,http://119.32.12.17:2901/udp/224.1.100.72:11111
重庆卫视,http://121.17.146.178:50003/hls/49/index.m3u8
东南卫视,http://119.32.12.17:2901/udp/224.1.100.56:11111
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
西藏卫视,http://121.17.146.178:50003/hls/63/index.m3u8

🕘️更新时间,#genre#
2025-06-20 06:22:19,http://qjrhc.jydjd.top:2911/udp/224.1.100.82:11111
